id,name
0,A.A. Milne
1,Agatha Christie
2,Agneta Pleijel
3,Aldous Huxley
4,Alex Berenson
5,Alex Jones
6,Alexandra Penney
7,Alfred Bester
8,Alfred Elton Van Vogt
9,Anais Nin
10,Andreas Roman
11,Andrzej Sapkowski
12,Andy Grove
13,Andy McNab
14,Ann Heberlein
15,Anna Arten
16,Anne Rice
17,Annette Motley
18,Anthony Burgess
19,Arthur C. Clarke
20,Ayn Rand
21,Barry Eisler
22,Barry Unsworth
23,Bengt Wallberg
24,Benjamin Hoff
25,Bernard Cornwell
26,Bertil Malmberg
27,Bertil Mårtensson
28,Björn Hellberg
29,Bodil Malmsten
30,Brandon Sanderson
31,Brian W. Aldiss
32,C.S. Lewis
33,Carl Sagan
34,Charles Grant
35,Clifford D. Simak
36,Clive Cussler
37,Colin Forbes
38,Craig Russell
39,Cynthia Voigt
40,Dan Brown
41,Dashiell Hammett
42,Dave Duncan
43,David Brin
44,David Eddings
45,David Gemmell
46,David Morrell
47,Deepak Chopra
48,Denise Mina
49,Dennis Lehane
50,Donald F. Glut
51,Dorothy Leigh Sayers
52,Douglas Adams
53,Dénis Lindbohm
54,Ed McBain
55,Edgar Allan Poe
56,Eiji Yoshikawa
57,Elisabet Hermodsson
58,Elizabeth Moon
59,Ellery Queen
60,Ellis Peters
61,Eric Van Lustbader
62,Eugen Herrigel
63,Evelyn Anthony
64,Fedor Michajlovic Dostoevskij
65,Frans G. Bengtsson
66,Gene Brewer
67,Gene Wolfe
68,Gentry Lee
69,George Johansson
70,George Lucas
71,George Orwell
72,George R.R. Martin
73,Georges Simenon
74,Giorgio Faletti
75,Glenna Mcreynolds
76,Graham Greene
77,Greg Bear
78,Guy Gavriel Kay
79,Göran Hassler
80,Gösta Pettersson
81,Hans Alfredson
82,Harlan Coben
83,Harper Lee
84,Helena Andersson
85,Helena Poloni
86,Henning Mankell
87,Hjalmar Söderberg
88,Howard Pyle
89,Hugh Howey
90,Ian Rankin
91,Isaac Asimov
92,J.D. Robb
93,J.R.R. Tolkien
94,J.T. Krul
95,James Blish
96,James Ellroy
97,James Kahn
98,James Welch
99,Jan Guillou
100,Jean C. Cooper
101,Jeff Noon
102,Jeffery Deaver
103,Jenna Jameson
104,Jennifer Roberson
105,Jerome David Salinger
106,Jevgenij Zamjatin
107,Jill Norman
108,Jim Garrison
109,Jo Nesbø
110,Joe Abercrombie
111,Joe Hill
112,Johanne Hildebrandt
113,John Dickson Carr
114,John Douglas
115,John Grisham
116,John Heider
117,John Irving
118,John Le Carre
119,John Michael Greer
120,John Varley
121,Jonathan Kellerman
122,Joseph Conrad
123,Joseph Heller
124,Joseph Wambaugh
125,Justin Cronin
126,Karin Boye
127,Katharine Kerr
128,Kazuo Ishiguro
129,Ken Follett
130,Kerstin Ekman
131,Kevin J. Anderson
132,Kjerstin Göransson-Ljungman
133,Konfucius
134,L.E. Modesitt Jr
135,Lasse Wierup
136,Laurie R. King
137,Lee Child
138,Leif G.W. Persson
139,Lennart Lidfors
140,Lian Hearn
141,Maggie Furey
142,Maj Sjöwall
143,Margaret Weis
144,Mario Puzo
145,Marion Zimmer Bradley
146,Mark Dice
147,Mary Gentle
148,Masako Togawa
149,Mervyn Peake
150,Michael Connelly
151,Michael Cox
152,Michael Ende
153,Michael Moorcock
154,Michail Afanasevic Bulgakov
155,Michail Bulgakov
156,Neil Gaiman
157,Nelson DeMille
158,Niklas Krog
159,Nikolay Daniilovich Perumov
160,Norman Mailer
161,Olaf Stapledon
162,Orson Scott Card
163,Patricia A. McKillip
164,Patricia D. Cornwell
165,Patrick Rothfuss
166,Paul Auster
167,Pauline Reage
168,Pelle Holmberg
169,Per Wahlöö
170,Peter May
171,Peter Robinson
172,Peter Straub
173,Philip K. Dick
174,R.A. Salvatore
175,Ray Bradbury
176,Raymond Carver
177,Raymond Chandler
178,Raymond E. Feist
179,Raymond Khoury
180,Reginald Hill
181,Richard Dübell
182,Robert A. Heinlein
183,Robert Jordan
184,Robert Louis Stevenson
185,Robert Ludlum
186,Robert Shea
187,Robert Sheckley
188,Robert Silverberg
189,Robin Hobb
190,Roger Zelazny
191,Ron McLarty
192,Ross MacDonald
193,Sam J. Lundwall
194,Shusaku Endo
195,Simon Beckett
196,Simon Kernick
197,Sir Arthur Conan Doyle
198,Siv Widerberg
199,Skott Frost
200,Snorre Sturluson
201,Stanislaw Lem
202,Stephen Donaldson
203,Stephen King
204,Stephen Lawhead
205,Steve Pieczenik
206,Stieg Larsson
207,Stieg Trenter
208,Stuart MacBride
209,Stuart Woods
210,Susan Price
211,Suzanne Brøgger
212,Tad Williams
213,Tage Danielsson
214,Takashi Matsuoka
215,Terry Brooks
216,Terry Goodkind
217,Terry Jones
218,Terry Pratchett
219,Tess Gerritsen
220,Tim Powers
221,Timothy Zahn
222,Tobias Landström
223,Tom Clancy
224,Tom Topor
225,Tomas Björklund
226,Tony Hillerman
227,Torsten Sandberg
228,Tracy Hickman
229,Umberto Eco
230,Ursula K. Le Guin
231,Various
232,Vic Suneson
233,Voltaire
234,Walt Whitman
235,Whitley Strieber
236,Whitney Alyse Webb
237,Will Jordan
238,William Diehl
239,William Gibson
240,William King
241,Willy Granqvist
242,Zi Sun
