id,author,title,sub_title,org_title,org_sub_title,volume,publication_date,org_publication_year,print_format,pages,publisher,cover,language,language_iso,isbn_13,isbn_10,description
0,Various,De Vackraste Orden Om Kärlek,aforismer från tre årtusenden,,,,,1989,Hardcover,,Info Books,placeholder.png,,,9789170030000,,
1,Various,En Dikt Av...,,,,,,1992,Hardcover,,Litteraturfrämjandet,placeholder.png,,,9789174486940,,
2,Various,Källor Till Japansk Vishet,,,,,,1978,,,Bergh,placeholder.png,,,9789150203653,,
3,Various,Kärlekslyrik,,,,,,1989,Hardcover,,Bromberg,placeholder.png,,,,917608437X,
4,A.A. Milne,Nalle Puh,,,,,,1979,Hardcover,,Bonniers juniorförlag,placeholder.png,,,9789148294830,,
5,A.A. Milne,Nalle Puhs Hörna,,,,,,1990,Hardcover,,Bonniers juniorförlag,placeholder.png,,,9789148518479,,
6,Agatha Christie,Herkules Storverk,,,,,,2001,,,Bonnier,placeholder.png,,,9789100576851,,
7,Agneta Pleijel,Hundstjärnan,,,,,,1989,,,Norstedts,9789118918025.jpg,,,9789118918025,,"Efter sin omtalade romandebut med Vindspejare (1987), återkom Agneta Pleijel två år senare med en annorlunda berättelse. I Hundstjärnan är formen knappare, tonfallet kärvare och perspektivet mörkare. Men vad de båda romanerna har gemensamt är människoskildringens helt betvingande lyskraft. ↵↵Hundstjärnan är en modern saga om människor prisgivna åt en flödande och bisarr kraft, kärleken. Med humor och poetisk styrka skildras en mycket ung människas försök att värja sig mot kärleken och mot de vuxnas kaotiska värld.↵↵Denna bok ingår i en serie som består av återutgivningar av Norstedts ständigt aktuella författare, från olika epoker och ur olika generationer.↵↵Gå in på www.norstedts.se/standigtaktuella och läs mer.↵"
8,Agneta Pleijel,"Änglar, dvärgar",,,,,,1991,,,PAN/Norstedt,placeholder.png,,,9789119119216,,
9,Aldous Huxley,Du sköna nya värld,,Brave New World,,,,2003,Paperback,,Bokförlaget Lind & Co,9789189538580.jpg,,,9789189538580,,"Du sköna nya värld, skriven redan 1932, är en av de stora och världsberömda framtidsskildringarna. Idag är vi nästan där."
10,Alex Berenson,Infiltratören,,The Faithful Spy,,,,2008,Paperback,,Månpocket,placeholder.png,,,9789170015946,,
11,Alexandra Penney,Sex för erfarna,,,,,,1987,,,Månpocket,placeholder.png,,,9789176423721,,
12,Alfred Bester,Tigermannen,,The Stars My Destination,,,,1979,Softcover,,Delta Förlags AB,placeholder.png,,,,9172281006,
13,Alfred Elton Van Vogt,Makten Och Gudarna,,,,,,1984,,,Delta,placeholder.png,,,9789172283299,,
14,Alfred Elton Van Vogt,Makten Och Stjärnorna,,,,,,1982,,,Delta,placeholder.png,,,9789172283107,,
15,Alfred Elton Van Vogt,Segraren Noll-A,,,,,,1986,,,Delta,placeholder.png,,,9789172283589,,
16,Anais Nin,Venusbarn,,,,,,1991,Hardcover,,Trevi,placeholder.png,,,9789171609830,,
17,Anais Nin,Venusdeltat,erotiska noveller,,,,,1991,Paperback,,Månpocket,placeholder.png,,,9789176426500,,
18,Andreas Roman,Demonen,,,,,,1999,,,,placeholder.png,,,9789189128323,,
19,Andreas Roman,Drakväktare,,,,,,1998,Paperback,,Neogames,placeholder.png,,,9789189128309,,
20,Andreas Roman,Dråparen,,,,,,1998,Paperback,,Neogames,placeholder.png,,,9789189128316,,
21,Andreas Roman,Vargen Och Kättaren,,,,,,2002,,,Neogames,placeholder.png,,,9789189128361,,
22,Andy McNab,Fjärrkontroll,,,,,,1999,,,Bonnierförlagen,placeholder.png,,,9789143021899,,
23,Ann Heberlein,"Jag Vill Inte Dö, Jag Vill Bara Inte Leva",,,,,,2008,,,Weyler,placeholder.png,,,9789185849215,,
24,Anne Rice,De Dödligas Förförare,,,,,,1995,Hardcover,,FORUM,placeholder.png,,,9789137107073,,
25,Anne Rice,De Fördömdas Drottning,,,,,,1992,Hardcover,,FORUM,placeholder.png,,,9789137101743,,
26,Anne Rice,Djävulens Frestelser,,,,,,1996,Hardcover,,FORUM,placeholder.png,,,9789137108902,,
27,Anne Rice,En Vampyrs Bekännelse,,,,,,1991,Paperback,,Månpocket,placeholder.png,,,9789176426562,,
28,Anne Rice,Mumien,,,,,,1993,Hardcover,,FORUM,placeholder.png,,,9789137103228,,
29,Anne Rice,Nattens Furste,,,,,,1991,Hardcover,,FORUM,placeholder.png,,,9789137100258,,
30,Annette Motley,"Gröna Draken, Vita Tigern",,,,,,1989,,,FORUM,placeholder.png,,,9789137096926,,
31,Anthony Burgess,A Clockwork Orange,,,,,,1986,Paperback,,M,placeholder.png,,,9789176422618,,
32,Arthur C. Clarke,2010,andra rymdodyssén,,,,,1988,Paperback,,Månpocket,placeholder.png,,,9789176424315,,
33,Arthur C. Clarke,3001,den sista resan,3001,The Final Odyssey,,,1998,Hardcover,,Raben Prisma,placeholder.png,,,9789151832630,,
34,Arthur C. Clarke,Guds Hammare,,The Hammer of God,,,,1994,Hardcover,,Trevi,placeholder.png,,,,9171610898,
35,Arthur C. Clarke,Lejonet Från Comarre,,,,,,1978,,,Delta,placeholder.png,,,9789172281912,,
36,Arthur C. Clarke,Mot Nya Världar,,,,,,1978,,,Delta,placeholder.png,,,9789172281714,,
37,Arthur C. Clarke,Möte Med Rama,,Rendezvous with Rama,,,,1974,Hardcover,,Bra Böcker,placeholder.png,,,,,
38,Arthur C. Clarke,SOS Från Törstens Hav,,,,,,1986,Paperback,,Prisma,placeholder.png,,,9789151819785,,
39,Arthur C. Clarke,Sånger Från Vår Fjärran Jord,,,,,,1987,Paperback,,Prisma,placeholder.png,,,9789151821184,,
40,Arthur C. Clarke,År 2001,en rymdodyssé,,,,,1988,Paperback,,M,placeholder.png,,,9789176424308,,
41,Arthur C. Clarke; Gentry Lee,Embryo,,Cradle,,,,1990,Hardcover,,Prisma,placeholder.png,,,9789151821382,,
42,Arthur C. Clarke; Gentry Lee,Rama II,,Rama II,,,,1991,Hardcover,,Wiken,placeholder.png,,,,9170247579,
43,Arthur C. Clarke; Gentry Lee,Ramas Lustgård,,The Garden Of Rama,,,,1992,Hardcover,,Wiken,placeholder.png,,,,9170247595,
44,Ayn Rand,Hymn,,,,,,1983,Hardcover,,Lindfors,placeholder.png,,,9789172680777,,
45,Barry Eisler,Rain,Samuraj I Skuggorna,Rain Fall,,,,2003,Hardcover,,Bra Böcker,placeholder.png,,,9789171338716,,
46,Barry Unsworth,Döden Och Gycklarna,en moralitet,,,,,1997,Hardcover,,Natur och kultur,placeholder.png,,,9789127062818,,
47,Bengt Wallberg,Kärlekens Trädgårdar,,,,,,1991,Softcover,,Poesi och kultur,placeholder.png,,,9789197171502,,
48,Benjamin Hoff,Tao Enligt Puh,,,,,,1990,Paperback,,Wahlström & Widstrand,placeholder.png,,,9789146153832,,
49,Benjamin Hoff,Te Enligt Nasse,,,,,,1993,Hardcover,,Wahlström & Widstrand,placeholder.png,,,9789146162964,,
50,Bernard Cornwell,De Dödas Ö,,The Winter King,,,,1999,Hardcover,,FORUM,placeholder.png,,,9789137114026,,
51,Bernard Cornwell,Vinterkungen,,The Winter King,,,,1998,Hardcover,,FORUM,placeholder.png,,,9789137112237,,
52,Bertil Malmberg,Åke Och Hans Värld,,,,,,1985,,,Wahlstr,placeholder.png,,,9789146150770,,
53,Bertil Mårtensson,Vägen Bort,Maktens Vägar 1,,,,,1997,Hardcover,,Replik,placeholder.png,,,9789188818164,,
54,Bertil Mårtensson,Vägen Tillbaka,Maktens Vägar 2,,,,,1997,Hardcover,,Replik,placeholder.png,,,9789188818171,,
55,Bertil Mårtensson,Vägen Ut,Maktens Vägar 3,,,,,1997,Hardcover,,Replik,placeholder.png,,,9789188818188,,
56,Björn Hellberg,Den Grå,,,,,,2001,,,Tre böcker,placeholder.png,,,,9143022677,
57,Bodil Malmsten,Dikter 1977-1990,,,,,,1991,Paperback,,Månpocket,placeholder.png,,,9789176426555,,
58,Bodil Malmsten,Nåd & Onåd,,,,,,1989,,,Bonnier,placeholder.png,,,9789100477417,,
59,Brian W. Aldiss,Drivhuset,,,,,,1990,,,Wahlström & Widstrand,placeholder.png,,,9789146159537,,
60,Brian W. Aldiss,Gråskägg,,,,,,1990,,,Legenda,placeholder.png,,,9789158215696,,
61,C.S. Lewis,"Caspian, Prins Av Narnia",Berättelsen Om Narnia 4,,,,,1991,Hardcover,,Bonniers juniorförlag,placeholder.png,,,9789148519469,,
62,C.S. Lewis,Den Sista Striden,Berättelsen Om Narnia 7,,,,,1991,Hardcover,,Bonniers juniorförlag,placeholder.png,,,9789148519506,,
63,C.S. Lewis,Hästen Och Hans Pojke,Berättelsen Om Narnia 3,,,,,1991,Hardcover,,Bonniers juniorförlag,placeholder.png,,,9789148519452,,
64,C.S. Lewis,Häxan Och Lejonet,Berättelsen Om Narnia 2,,,,,1994,Hardcover,,Bonnier Carlsen,placeholder.png,,,9789163831409,,
65,C.S. Lewis,Kung Caspian Och Skeppet Gryningen,Berättelsen Om Narnia 5,,,,,1991,Hardcover,,Bonniers juniorförlag,placeholder.png,,,9789148519476,,
66,C.S. Lewis,Min Morbror Trollkarlen,Berättelsen Om Narnia 1,,,,,1991,Hardcover,,Bonniers juniorförlag,placeholder.png,,,9789148519421,,
67,C.S. Lewis,Perelandra,,,,,,1981,,,Delta,placeholder.png,,,9789172282773,,
68,C.S. Lewis,Silvertronen,Berättelsen Om Narnia 6,,,,,1991,Hardcover,,Bonniers juniorförlag,placeholder.png,,,9789148519490,,
69,C.S. Lewis,Utflykt Från Tyst Planet,,,,,,1979,,,Delta,placeholder.png,,,9789172282261,,
70,C.S. Lewis,Vredens Tid,,,,,,1993,,,Libris,placeholder.png,,,9789171948922,,
71,Carl Sagan,Kontakt,,,,,,1988,Paperback,,Månpocket,placeholder.png,,,9789176423899,,
72,Charles Grant,De Osynliga,,,,,,1996,,,Raben Prisma,placeholder.png,,,9789151829760,,
73,Charles Grant,Dödlig Vind,,,,,,1996,,,Raben Prisma,placeholder.png,,,,915182972X,
74,Clifford D. Simak,Websters Värld,,,,,,1978,,,Delta,placeholder.png,,,9789172281592,,
75,Clive Cussler,Isstaden,,Atlantis Found,,,,2002,Hardcover,,Bonnier,placeholder.png,,,9789143022780,,
76,Colin Forbes,England I Dödlig Fara,,,,,,2000,,,Bonnierförlagen,placeholder.png,,,9789143022353,,
77,Craig Russell,Blodörn,,,,,,2007,,,Bonnierförlagen,placeholder.png,,,9789143024937,,
78,Cynthia Voigt,Jackaroo,,,,,,1992,Hardcover,,Bonniers juniorförlag,placeholder.png,,,9789148519872,,
79,Cynthia Voigt,Lyckans Hjul,,,,,,1992,,,Bonniers juniorförlag,placeholder.png,,,9789148519940,,
80,Cynthia Voigt,På Falkens Vingar,,,,,,1997,,,Bonnier Carlsen,placeholder.png,,,9789163833977,,
81,Dan Brown,Begynnelse,,,,,,,,,,placeholder.png,,,9789100173036,,
82,Dan Brown,Da Vinci-Koden,,The Da Vinci Code,,,,2003,Hardcover,,Bonnier,placeholder.png,,,9789100102975,,
83,Dan Brown,Den Förlorade Symbolen,,The Lost Symbol,,,,2009,Hardcover,,Albert Bonniers Förlag,placeholder.png,,,9789100106461,,
84,Dan Brown,Gåtornas Palats,,Digital Fortress,,,,2006,Hardcover,,Bonnier,placeholder.png,,,9789100107161,,
85,Dan Brown,I Cirkelns Mitt,,Deception Point,,,,2005,Hardcover,,Bonnier,placeholder.png,,,9789100106065,,
86,Dan Brown,Inferno,,Inferno,,,,2013,Hardcover,,Albert Bonniers F,placeholder.png,,,9789100137410,,
87,Dan Brown,Änglar Och Demoner,,Angels & Demons,,,,2005,Hardcover,,Bonnier,placeholder.png,,,9789100105020,,
88,Dashiell Hammett,Glasnyckeln,,,,,,1997,,,Norstedt,placeholder.png,,,9789119721525,,
89,Dashiell Hammett,Riddarfalken Från Malta,,,,,,1996,,,Norstedt,placeholder.png,,,9789119701121,,
90,Dave Duncan,Det Magiska Fönstret,Bok 1,Magic Casement,Part One of A Man of His Sword,,,1997,Hardcover,,Bonnier,placeholder.png,,,9789100565411,,
91,Dave Duncan,Faerie-Den Magiska Ön,Bok 2,Faery Lands Forlorn,Part Two of A Man of His Sword,,,1998,Hardcover,,A. Bonnier,placeholder.png,,,9789100566791,,
